reference_code, excluded_code
MAEMAT02	,	MATR2000X
MEPMEI01	,	MEDP1000X
MEPMEI02	,	MEDP2000X
MJKMJU3	,	MJUV100TX
MOBBAN0	,	BAND1000X
MOBGRV0	,	GRAV1000X
MOBHJU0	,	HJUL1000X
MOBVAG0	,	VAGH1000X
"MOLMOB0,MOLMOI0"	,	"MOBI1000X,MOBI2000X"
MODXXX01	,	MODY1000X
MODXXX02	,	MODG1000X
MODXXX03	,	MODO1000X
MODXXX04	,	MODO2000X
MODXXX05	,	MODF1000X
MODXXX06	,	MODF2000X
MODXXX07	,	MODF3000X
MODZHO01	,	KINY1000X
MODZHO02	,	KING1000X
MODZHO03	,	KINO1000X
MODZHO04	,	KINO2000X
MODZHO05	,	KINF1000X
MODZHO06	,	KINF2000X
MODZHO07	,	KINF3000X
MOEXXX01	,	MODE1000X
MOEXXX01	,	FINX1000X
MOEXXX01	,	JIDX1000X
MOEXXX01	,	MEAX1000X
MOEXXX01	,	ROMX1000X
MOEXXX01	,	SAMX1000X
MOEXXX02	,	MODE2000X
MOEXXX02	,	FINX2000X
MOEXXX02	,	JIDX2000X
MOEXXX02	,	MEAX2000X
MOEXXX02	,	ROMX2000X
MOEXXX02	,	SAMX2000X
MOTMOT01	,	MOTO1000X
MOTMOT02	,	MOTO2000X
MURMUR01	,	MURO1000X
MURMUR02	,	MURO2000X
MURMUR03	,	MURO3000X
MUSBRU0	,	BRUK1000X
MUSENS0	,	"ENSE1000X,KORS1000X"
MUSENS01	,	ENSE1000X
MUSENS02S	,	ENSE2000X
MUSENS02S	,	ENSM1000X
MUSINS01S	,	INSR1000X
MUSINS02S	,	INSR2000X
MUSINS03S	,	INSR3000X
MUSKÖS01	,	KORS1000X
MUSKÖS02S	,	KORS2000X
MUSMUK0	,	MUSF100DX
MUSMUS0	,	MUSI1000X
MUSRYT0	,	RYTM1000X
MUIGEH01	,	MUST1000X
MUIGEH02	,	MUST2000X
MARMAL01	,	MALE1000X
MARMAL02	,	MALE2000X
MARMAL03	,	"MALE2000X,MALU1000X"
"MARMAL04,MARMAL05"	,	"MALE3000X,MALI1000X"
MARMAR0	,	MALA1000X
MÄNINA0	,	INTN1000X
MÄIMÄN01	,	MANS1000X
MÄIMÄN02	,	MANS2000X
MÄKMÄK01	,	MANN1000X
MÄKMÄK02	,	MANN2000X
